"Sector","Year","DemandTWh","Zone","Scenario"
"Transportation",2048,0.198432043194771,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2049,83.116096496582,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2049,90.250129699707,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2049,86.7209625244141,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2049,0.199573427438736,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2050,83.7530517578125,"Midcontinent / West","Counterfactual Baseline case"
"Commercial",2050,90.4605178833008,"Midcontinent / West","Counterfactual Baseline case"
"Industrial",2050,87.0802688598633,"Midcontinent / West","Counterfactual Baseline case"
"Transportation",2050,0.200402125716209,"Midcontinent / West","Counterfactual Baseline case"
"Residential",2025,72.541374206543,"Midcontinent / Central","Counterfactual Baseline case"
"Commercial",2025,55.0756797790527,"Midcontinent / Central","Counterfactual Baseline case"
"Industrial",2025,62.4829177856445,"Midcontinent / Central","Counterfactual Baseline case"
"Transportation",2025,0.282081186771393,"Midcontinent / Central","Counterfactual Baseline case"
"Residential",2026,72.3997192382812,"Midcontinent / Central","Counterfactual Baseline case"
"Commercial",2026,57.602222442627,"Midcontinent / Central","Counterfactual Baseline case"
"Industrial",2026,64.2084579467773,"Midcontinent / Central","Counterfactual Baseline case"
"Transportation",2026,0.286875814199448,"Midcontinent / Central","Counterfactual Baseline case"
"Residential",2027,71.8326187133789,"Midcontinent / Central","Counterfactual Baseline case"
"Commercial",2027,57.757381439209,"Midcontinent / Central","Counterfactual Baseline case"
"Industrial",2027,63.8452949523926,"Midcontinent / Central","Counterfactual Baseline case"
"Transportation",2027,0.287768185138702,"Midcontinent / Central","Counterfactual Baseline case"
"Residential",2028,72.7400665283203,"Midcontinent / Central","Counterfactual Baseline case"
"Commercial",2028,58.1937026977539,"Midcontinent / Central","Counterfactual Baseline case"
"Industrial",2028,63.2575340270996,"Midcontinent / Central","Counterfactual Baseline case"
"Transportation",2028,0.285712659358978,"Midcontinent / Central","Counterfactual Baseline case"
"Residential",2029,73.5490798950195,"Midcontinent / Central","Counterfactual Baseline case"
"Commercial",2029,58.4556770324707,"Midcontinent / Central","Counterfactual Baseline case"
"Industrial",2029,62.7275047302246,"Midcontinent / Central","Counterfactual Baseline case"
