from_zone,to_zone,from_transreg,to_transreg,transreg,line_type,region,project_name,existing_cap_mw,new_cap_mw,new_cap_year,total_cap_mw,trans_length_km,trans_efficiency
p57,p63,SPP,ERCOT,SPP / ERCOT,Existing,Cross-Region,,600.0,,,600.0,260.1604419,0.980525804
p57,p66,SPP,MISO,SPP / MISO,Existing,Cross-Region,,464.0,,,464.0,294.7763767,0.977876431
p57,p85,SPP,MISO,SPP / MISO,Existing,Cross-Region,,319.0,,,319.0,383.4383375,0.971218884
p58,p66,MISO,MISO,MISO,Existing,MISO,,3051.2,,,3051.2,388.4219365,0.970945831
p58,p85,MISO,MISO,MISO,Existing,MISO,,142.4,,,142.4,646.4005135,0.963005073
p58,p87,MISO,MISO,MISO,Existing,MISO,,4042.4,,,4042.4,286.8246856,0.978484022
p6,p9,NorthernGrid,CAISO,NorthernGrid / CAISO,Existing,Cross-Region,,2366.9,,,2366.9,547.8484683,0.949055754
p6,p7,NorthernGrid,NorthernGrid,NorthernGrid,Existing,NorthernGrid,,797.0,,,797.0,660.5231805,0.962031776
p6,p8,NorthernGrid,NorthernGrid,NorthernGrid,Existing,NorthernGrid,,1939.0,,,1939.0,144.8284289,0.949618137
p60,p61,ERCOT,ERCOT,ERCOT,Existing,ERCOT,Howard to Solstice 765kV | Solstice to Howard New 765 kV line and two 765/345 kV autotransformers at Solstice | Construct Drill Hole Riverton 345 kV Double-Circuit,2473.0,17216.0,2035.0,19689.0,143.7545981,0.950147504
p60,p62,ERCOT,ERCOT,ERCOT,Existing,ERCOT,Drill Hole to Longshore 765 kV Line,2303.0,5300.0,2028.0,7603.0,71.62310601,0.975230342
p60,p63,ERCOT,ERCOT,ERCOT,Existing,ERCOT,Construct Clearfork - Drill Hole 345 kV DCKT Line,2003.0,2988.0,2030.0,4991.0,383.6718818,0.971320748
p61,p62,ERCOT,ERCOT,ERCOT,Existing,ERCOT,,832.0,,,832.0,186.6437651,0.935317135
p61,p63,ERCOT,ERCOT,ERCOT,Existing,ERCOT,,456.0,,,456.0,316.1837131,0.976350881
p61,p64,ERCOT,ERCOT,ERCOT,Existing,ERCOT,,238.0,,,238.0,321.350132,0.975983309
p61,p65,ERCOT,ERCOT,ERCOT,Existing,ERCOT,San Miguel to Cruce 345 kV lines,466.0,1983.0,2028.0,2449.0,290.4570197,0.978240449
p63,p87,ERCOT,MISO,ERCOT / MISO,Cross-TransReg,Cross-Region,Southern Spirit,0.0,3000.0,2035.0,3000.0,514.99,0.972
p63,p64,ERCOT,ERCOT,ERCOT,Existing,ERCOT,,4440.0,,,4440.0,262.8779709,0.98029099
p63,p67,ERCOT,ERCOT,ERCOT,Existing,ERCOT,,2138.0,,,2138.0,333.7771906,0.966393045
p64,p65,ERCOT,ERCOT,ERCOT,Existing,ERCOT,,6298.0,,,6298.0,95.9448671,0.966615669
p64,p67,ERCOT,ERCOT,ERCOT,Existing,ERCOT,,2207.0,,,2207.0,256.7902515,0.980770437
p65,p67,ERCOT,ERCOT,ERCOT,Existing,ERCOT,,6360.0,,,6360.0,283.7379118,0.978786992
p66,p86,MISO,MISO,MISO,Existing,MISO,,1046.6,,,1046.6,486.5278035,0.972159158
p68,p69,MISO,MISO,MISO,Existing,MISO,,949.4,,,949.4,227.6745773,0.921127436
p68,p77,MISO,MISO,MISO,Existing,MISO,,55.7,,,55.7,331.0166358,0.97521792
p69,p70,MISO,MISO,MISO,Existing,MISO,,1130.6,,,1130.6,131.0295439,0.95448526
p69,p77,MISO,MISO,MISO,Existing,MISO,,93.7,,,93.7,251.3916059,0.98120704
p7,p12,NorthernGrid,NorthernGrid,NorthernGrid,Existing,NorthernGrid,,1.0,,,1.0,333.7771906,0.966393045
p7,p15,NorthernGrid,NorthernGrid,NorthernGrid,Existing,NorthernGrid,,1303.0,,,1303.0,74.71108135,0.974048542
p7,p8,NorthernGrid,NorthernGrid,NorthernGrid,Existing,NorthernGrid,,50.0,,,50.0,671.789317,0.961404599
p70,p80,MISO,PJM,MISO / PJM,Cross-TransReg,Cross-Region,SOO Green,281.0,2100.0,2035.0,2381.0,482.0051422,0.97245948
p70,p71,MISO,MISO,MISO,Existing,MISO,LRTP-10: Denny Zachary Thomas Hill Maywood,241.7,1792.0,2030.0,2033.7,314.1044267,0.976483774
p70,p77,MISO,MISO,MISO,Existing,MISO,,17.7,,,17.7,424.3907894,0.968199667
p70,p81,MISO,MISO,MISO,Existing,MISO,LRTP-40: Sub T - Woodford County - Collins & Reynolds | LRTP-13: Skunk River Ipava,453.4,7292.0,2035.0,7745.4,270.4123103,0.979773984
p71,p72,MISO,MISO,MISO,Existing,MISO,LRTP-37: Maywood - Belleau - MRPD - Sioux - Bugle,1188.8,1792.0,2035.0,2980.8,115.9445901,0.95963756
p71,p81,MISO,MISO,MISO,Existing,MISO,LRTP-11: Maywood Meredosia,270.5,1792.0,2028.0,2062.5,251.943818,0.981148834
p72,p81,MISO,MISO,MISO,Planned Intra-Region,MISO,Grain Belt Line,3609.6,5000.0,2030.0,8609.6,337.2930892,0.974775886
p72,p73,MISO,MISO,MISO,Existing,MISO,,2014.8,,,2014.8,165.5338625,0.942277253
p72,p84,MISO,MISO,MISO,Existing,MISO,,1918.3,,,1918.3,274.7878628,0.97937006
p73,p84,MISO,MISO,MISO,Existing,MISO,,1343.1,,,1343.1,272.4897393,0.979568369
p74,p103,MISO,MISO,MISO,Existing,MISO,,422.0,,,422.0,1246.39796,0.920309011
p74,p75,MISO,MISO,MISO,Existing,MISO,LRTP-18: Oneida Nelson Rd.,899.5,1792.0,2030.0,2691.5,281.3129664,0.978888232
p75,p76,MISO,MISO,MISO,Existing,MISO,,2489.6,,,2489.6,37.03760365,0.987082333
p75,p79,MISO,MISO,MISO,Existing,MISO,,133.6,,,133.6,144.9383786,0.949742516
p76,p77,MISO,MISO,MISO,Existing,MISO,,473.0,,,473.0,219.0426673,0.923852936
p76,p78,MISO,MISO,MISO,Existing,MISO,,1065.5,,,1065.5,180.9973589,0.937251429
p76,p79,MISO,MISO,MISO,Existing,MISO,LRTP-30: Columbia - Sugar Creek | LRTP-28: South Fond du Lac - Rockdale - Big Bend - Sugar Creek  - Kitty Hawk,562.7,7292.0,2035.0,7854.7,120.4694994,0.958277311
p77,p80,MISO,PJM,MISO / PJM,Existing,Cross-Region,,13.1,,,13.1,305.1528029,0.977113977
p77,p78,MISO,MISO,MISO,Existing,MISO,,213.5,,,213.5,149.6584042,0.948009128
p78,p80,MISO,PJM,MISO / PJM,Existing,Cross-Region,,197.6,,,197.6,257.821693,0.980706345
p78,p79,MISO,MISO,MISO,Existing,MISO,,192.9,,,192.9,136.6695798,0.952522961
p79,p80,MISO,PJM,MISO / PJM,Existing,Cross-Region,LRTP-31: Sugar Creek - Collins,1514.6,5500.0,2035.0,7014.6,77.51006978,0.97305405
p8,p9,NorthernGrid,CAISO,NorthernGrid / CAISO,Existing,Cross-Region,,85.2,,,85.2,396.4614887,0.95192975
p8,p12,NorthernGrid,NorthernGrid,NorthernGrid,Existing,NorthernGrid,,300.0,,,300.0,333.7771906,0.966393045
p80,p105,PJM,MISO,PJM / MISO,Existing,Cross-Region,LRTP-42: Burr Oak - Schahfer | LRTP-16: Morrison Ditch Reynolds Burr Oak Leesburg Hiple,4210.9,3584.0,2035.0,7794.9,256.8291124,0.980775092
p80,p81,PJM,MISO,PJM / MISO,Existing,Cross-Region,,953.1,,,953.1,159.544503,0.944664994
p80,p82,PJM,MISO,PJM / MISO,Existing,Cross-Region,,1825.0,,,1825.0,151.1212616,0.947641701
p80,p83,PJM,MISO,PJM / MISO,Existing,Cross-Region,LRTP-15: Sidney Paxton East Gilman South Morrison Ditch,473.6,1792.0,2030.0,2265.6,150.8700577,0.947803124
