GENERATION_PROJECT,BUILD_YEAR,gen_overnight_cost,gen_fixed_om,gen_storage_energy_overnight_cost,gen_storage_energy_fixed_om
p10_petroleum_liquids_1,1976.0,0,25800,.,.
p10_petroleum_liquids_1,1980.0,0,25800,.,.
p10_petroleum_liquids_1,1986.0,0,25800,.,.
p10_petroleum_liquids_1,1995.0,0,25800,.,.
p10_petroleum_liquids_1,1999.0,0,25800,.,.
p10_petroleum_liquids_1,2000.0,0,25800,.,.
p10_petroleum_liquids_1,2011.0,0,25800,.,.
p10_petroleum_liquids_1,2018.0,0,25800,.,.
p10_small_hydroelectric_1,1903.0,0,57025,.,.
p10_small_hydroelectric_1,1904.0,0,57025,.,.
p10_small_hydroelectric_1,1905.0,0,57025,.,.
p10_small_hydroelectric_1,1906.0,0,57025,.,.
p10_small_hydroelectric_1,1907.0,0,57025,.,.
p10_small_hydroelectric_1,1908.0,0,57025,.,.
p10_small_hydroelectric_1,1909.0,0,57025,.,.
p10_small_hydroelectric_1,1911.0,0,57025,.,.
p10_small_hydroelectric_1,1912.0,0,57025,.,.
p10_small_hydroelectric_1,1913.0,0,57025,.,.
p10_small_hydroelectric_1,1916.0,0,57025,.,.
p10_small_hydroelectric_1,1917.0,0,57025,.,.
p10_small_hydroelectric_1,1919.0,0,57025,.,.
p10_small_hydroelectric_1,1921.0,0,57025,.,.
p10_small_hydroelectric_1,1922.0,0,57025,.,.
p10_small_hydroelectric_1,1924.0,0,57025,.,.
p10_small_hydroelectric_1,1925.0,0,57025,.,.
p10_small_hydroelectric_1,1927.0,0,57025,.,.
p10_small_hydroelectric_1,1929.0,0,57025,.,.
p10_small_hydroelectric_1,1941.0,0,57025,.,.
p10_small_hydroelectric_1,1943.0,0,57025,.,.
p10_small_hydroelectric_1,1949.0,0,57025,.,.
p10_small_hydroelectric_1,1950.0,0,57025,.,.
p10_small_hydroelectric_1,1953.0,0,57025,.,.
p10_small_hydroelectric_1,1957.0,0,57025,.,.
p10_small_hydroelectric_1,1958.0,0,57025,.,.
p10_small_hydroelectric_1,1966.0,0,57025,.,.
p10_small_hydroelectric_1,1971.0,0,57025,.,.
p10_small_hydroelectric_1,1980.0,0,57025,.,.
p10_small_hydroelectric_1,1981.0,0,57025,.,.
p10_small_hydroelectric_1,1982.0,0,57025,.,.
p10_small_hydroelectric_1,1983.0,0,57025,.,.
p10_small_hydroelectric_1,1984.0,0,57025,.,.
p10_small_hydroelectric_1,1985.0,0,57025,.,.
p10_small_hydroelectric_1,1986.0,0,57025,.,.
p10_small_hydroelectric_1,1987.0,0,57025,.,.
p10_small_hydroelectric_1,1989.0,0,57025,.,.
p10_small_hydroelectric_1,1990.0,0,57025,.,.
p10_small_hydroelectric_1,1994.0,0,57025,.,.
p10_small_hydroelectric_1,2001.0,0,57025,.,.
p10_small_hydroelectric_1,2024.0,0,57025,.,.
p10_solar_photovoltaic_1,1535.0,0,21608,.,.
p10_solar_photovoltaic_1,1545.0,0,21608,.,.
p10_solar_photovoltaic_1,1547.0,0,21608,.,.
p10_solar_photovoltaic_1,1557.0,0,21608,.,.
p10_solar_photovoltaic_1,2003.0,0,21608,.,.
p10_solar_photovoltaic_1,2005.0,0,21608,.,.
p10_solar_photovoltaic_1,2006.0,0,21608,.,.
p10_solar_photovoltaic_1,2007.0,0,21608,.,.
p10_solar_photovoltaic_1,2008.0,0,21608,.,.
p10_solar_photovoltaic_1,2009.0,0,21608,.,.
p10_solar_photovoltaic_1,2010.0,0,21608,.,.
p10_solar_photovoltaic_1,2011.0,0,21608,.,.
p10_solar_photovoltaic_1,2012.0,0,21608,.,.
p10_solar_photovoltaic_1,2013.0,0,21608,.,.
p10_solar_photovoltaic_1,2014.0,0,21608,.,.
p10_solar_photovoltaic_1,2015.0,0,21608,.,.
p10_solar_photovoltaic_1,2016.0,0,21608,.,.
p10_solar_photovoltaic_1,2017.0,0,21608,.,.
p10_solar_photovoltaic_1,2018.0,0,21608,.,.
p10_solar_photovoltaic_1,2019.0,0,21608,.,.
p10_solar_photovoltaic_1,2020.0,0,21608,.,.
p10_solar_photovoltaic_1,2021.0,0,21608,.,.
p10_solar_photovoltaic_1,2022.0,0,21608,.,.
p10_solar_photovoltaic_1,2023.0,0,21608,.,.
p10_solar_photovoltaic_1,2024.0,0,21608,.,.
p10_solar_photovoltaic_1,2025.0,0,21608,.,.
p10_solar_photovoltaic_1,2026.0,0,21608,.,.
p10_solar_photovoltaic_1,2027.0,0,21608,.,.
p10_waste_heat_1,1976.0,0,163666,.,.
p10_waste_heat_1,1983.0,0,163666,.,.
p10_waste_heat_1,1988.0,0,163666,.,.
p10_waste_heat_1,1993.0,0,163666,.,.
p10_waste_heat_1,1996.0,0,163666,.,.
p10_waste_heat_1,2029.0,0,163666,.,.
p100_biomass_1,2010.0,0,163666,.,.
p100_natural_gas_fired_combined_cycle_1,2014.0,0,14947,.,.
p100_natural_gas_fired_combustion_turbine_1,2015.0,0,16032,.,.
p100_small_hydroelectric_1,1923.0,0,57025,.,.
p100_small_hydroelectric_1,1927.0,0,57025,.,.
p100_solar_photovoltaic_1,2017.0,0,21608,.,.
p100_solar_photovoltaic_1,2023.0,0,21608,.,.
p100_solar_photovoltaic_1,2024.0,0,21608,.,.
p101_batteries_1,2017.0,0,8671,0,0
p101_batteries_1,2018.0,0,8671,0,0
p101_batteries_1,2019.0,0,8671,0,0
p101_batteries_1,2021.0,0,8671,0,0
p101_batteries_1,2022.0,0,8671,0,0
p101_batteries_1,2023.0,0,8671,0,0
p101_batteries_1,2024.0,0,8671,0,0
p101_batteries_1,2025.0,0,8671,0,0
p101_biomass_1,1525.0,0,163666,.,.
p101_biomass_1,1529.0,0,163666,.,.
p101_biomass_1,1572.0,0,163666,.,.
p101_biomass_1,1950.0,0,163666,.,.
p101_biomass_1,1965.0,0,163666,.,.
p101_biomass_1,1982.0,0,163666,.,.
p101_biomass_1,1983.0,0,163666,.,.
p101_biomass_1,1985.0,0,163666,.,.
p101_biomass_1,1986.0,0,163666,.,.
p101_biomass_1,1987.0,0,163666,.,.
p101_biomass_1,1988.0,0,163666,.,.
p101_biomass_1,1990.0,0,163666,.,.
p101_biomass_1,1991.0,0,163666,.,.
p101_biomass_1,1993.0,0,163666,.,.
p101_biomass_1,2004.0,0,163666,.,.
p101_biomass_1,2006.0,0,163666,.,.
p101_biomass_1,2007.0,0,163666,.,.
p101_biomass_1,2008.0,0,163666,.,.
p101_biomass_1,2009.0,0,163666,.,.
p101_biomass_1,2010.0,0,163666,.,.
p101_biomass_1,2011.0,0,163666,.,.
p101_biomass_1,2012.0,0,163666,.,.
p101_biomass_1,2013.0,0,163666,.,.
p101_biomass_1,2015.0,0,163666,.,.
p101_biomass_1,2017.0,0,163666,.,.
p101_biomass_1,2019.0,0,163666,.,.
p101_biomass_1,2026.0,0,163666,.,.
p101_conventional_hydroelectric_1,2001.0,0,57025,.,.
p101_conventional_hydroelectric_1,2002.0,0,57025,.,.
p101_conventional_hydroelectric_1,2003.0,0,57025,.,.
p101_conventional_steam_coal_1,1966.0,0,79729.6666666667,.,.
p101_conventional_steam_coal_1,1972.0,0,79729.6666666667,.,.
p101_conventional_steam_coal_1,1987.0,0,79729.6666666667,.,.
p101_conventional_steam_coal_1,1996.0,0,79729.6666666667,.,.
p101_conventional_steam_coal_2,1982.0,0,74773.6666666667,.,.
p101_conventional_steam_coal_2,1984.0,0,74773.6666666667,.,.
p101_natural_gas_fired_combined_cycle_1,1958.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,1965.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,1967.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,1969.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,1970.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,1974.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,1995.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,1996.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,1999.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,2000.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,2001.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,2002.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,2003.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,2004.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,2005.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,2007.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,2009.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,2011.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,2017.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,2018.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,2019.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,2021.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,2023.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_1,2026.0,0,14415,.,.
p101_natural_gas_fired_combined_cycle_2,1956.0,0,19989,.,.
p101_natural_gas_fired_combined_cycle_2,1977.0,0,19989,.,.
p101_natural_gas_fired_combined_cycle_2,1992.0,0,19989,.,.
p101_natural_gas_fired_combined_cycle_2,1993.0,0,19989,.,.
p101_natural_gas_fired_combined_cycle_2,1994.0,0,19989,.,.
p101_natural_gas_fired_combined_cycle_2,1995.0,0,19989,.,.
p101_natural_gas_fired_combined_cycle_2,1997.0,0,19989,.,.
p101_natural_gas_fired_combined_cycle_2,2000.0,0,19989,.,.
p101_natural_gas_fired_combined_cycle_2,2001.0,0,19989,.,.
p101_natural_gas_fired_combined_cycle_2,2002.0,0,19989,.,.
p101_natural_gas_fired_combined_cycle_2,2008.0,0,19989,.,.
p101_natural_gas_fired_combined_cycle_2,2010.0,0,19989,.,.
p101_natural_gas_fired_combined_cycle_2,2021.0,0,19989,.,.
p101_natural_gas_fired_combustion_turbine_1,1531.0,0,11788.6666666667,.,.
p101_natural_gas_fired_combustion_turbine_1,1972.0,0,11788.6666666667,.,.
p101_natural_gas_fired_combustion_turbine_1,1973.0,0,11788.6666666667,.,.
p101_natural_gas_fired_combustion_turbine_1,1980.0,0,11788.6666666667,.,.
p101_natural_gas_fired_combustion_turbine_1,1983.0,0,11788.6666666667,.,.
