GENERATION_PROJECT,PERIOD,gen_fixed_om_by_period,gen_variable_om_by_period,gen_storage_energy_fixed_om_by_period
p10_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p10_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p10_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p10_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p10_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p10_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p10_offshorewind_class3_moderate_fixed_1_1,2028,2759.66666666667,.,.
p10_offshorewind_class3_moderate_fixed_1_2,2028,2759.66666666667,.,.
p10_offshorewind_class3_moderate_fixed_0_1,2028,2759.66666666667,.,.
p10_offshorewind_class3_moderate_fixed_0_2,2028,2759.66666666667,.,.
p11_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p11_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p11_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p11_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p11_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p11_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p11_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p11_offshorewind_class3_moderate_fixed_1_1,2028,2759.66666666667,.,.
p11_offshorewind_class3_moderate_fixed_1_2,2028,2759.66666666667,.,.
p11_offshorewind_class3_moderate_fixed_0_1,2028,2759.66666666667,.,.
p11_offshorewind_class3_moderate_fixed_0_2,2028,2759.66666666667,.,.
p12_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p12_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p12_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p12_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p12_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p12_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p12_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p13_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p13_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p13_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p13_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p13_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p13_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p13_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p14_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p14_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p14_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p14_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p14_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p14_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p14_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p15_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p15_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p15_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p15_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p15_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p15_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p15_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p16_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p16_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p16_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p16_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p16_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p16_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p16_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p17_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p17_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p17_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p17_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p17_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p17_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p17_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p18_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p18_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p18_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p18_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p18_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p18_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p18_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p19_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p19_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p19_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p19_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p19_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p19_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p19_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p20_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p20_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p20_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p20_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p20_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p20_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p20_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p21_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p21_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p21_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p21_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p21_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p21_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p21_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p22_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p22_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p22_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p22_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p22_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p22_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p22_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p23_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p23_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p23_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p23_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p23_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p23_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p23_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p24_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p24_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p24_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p24_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p24_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p24_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p24_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p25_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p25_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p25_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p25_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p25_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p25_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p25_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p26_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p26_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p26_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p26_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p26_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p26_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p26_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p27_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p27_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p27_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p27_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p27_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p27_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p27_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p28_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p28_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p28_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p28_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p28_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p28_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p28_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p29_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
p29_naturalgas_combustion_turbine_fframe_moderate_0,2028,463.333333333332,.,.
p29_utilityscale_battery_storage_lithium_ion_advanced_0,2028,570.666666666667,.,619.333333333333
p29_landbasedwind_class3_moderate_1,2028,995.333333333332,.,.
p29_landbasedwind_class3_moderate_2,2028,995.333333333332,.,.
p29_utilitypv_class1_moderate_1,2028,1817.66666666667,.,.
p29_utilitypv_class1_moderate_2,2028,1817.66666666667,.,.
p30_naturalgas_1on1_combined_cycle_hframe_moderate_0,2028,738.333333333336,0.0466666666666669,.
