GENERATION_PROJECT,PERIOD,gen_ptc_value_per_mwh
p95_landbasedwind_class3_moderate_2,2030,27.5
p95_utilitypv_class1_moderate_1,2030,27.5
p95_utilitypv_class1_moderate_2,2030,27.5
p95_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p95_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p95_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p95_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p95_offshorewind_class12_moderate_floating_0_1,2030,27.5
p95_offshorewind_class12_moderate_floating_0_2,2030,27.5
p96_landbasedwind_class3_moderate_1,2030,27.5
p96_landbasedwind_class3_moderate_2,2030,27.5
p96_utilitypv_class1_moderate_1,2030,27.5
p96_utilitypv_class1_moderate_2,2030,27.5
p97_landbasedwind_class3_moderate_1,2030,27.5
p97_landbasedwind_class3_moderate_2,2030,27.5
p97_utilitypv_class1_moderate_1,2030,27.5
p97_utilitypv_class1_moderate_2,2030,27.5
p97_offshorewind_class3_moderate_fixed_1_1,2030,27.5
p97_offshorewind_class3_moderate_fixed_1_2,2030,27.5
p97_offshorewind_class3_moderate_fixed_0_1,2030,27.5
p97_offshorewind_class3_moderate_fixed_0_2,2030,27.5
p97_offshorewind_class12_moderate_floating_0_1,2030,27.5
p97_offshorewind_class12_moderate_floating_0_2,2030,27.5
p98_landbasedwind_class3_moderate_1,2030,27.5
p98_landbasedwind_class3_moderate_2,2030,27.5
