load_zone,fuel,period,fuel_cost
p12,uranium,2035,1.37390438022092
p13,uranium,2028,1.37390438022092
p13,uranium,2030,1.37390438022092
p13,uranium,2035,1.37390438022092
p14,uranium,2028,1.37390438022092
p14,uranium,2030,1.37390438022092
p14,uranium,2035,1.37390438022092
p15,uranium,2028,1.37390438022092
p15,uranium,2030,1.37390438022092
p15,uranium,2035,1.37390438022092
p16,uranium,2028,1.37390438022092
p16,uranium,2030,1.37390438022092
p16,uranium,2035,1.37390438022092
p17,uranium,2028,1.37390438022092
p17,uranium,2030,1.37390438022092
p17,uranium,2035,1.37390438022092
p18,uranium,2028,1.37390438022092
p18,uranium,2030,1.37390438022092
p18,uranium,2035,1.37390438022092
p19,uranium,2028,1.37390438022092
p19,uranium,2030,1.37390438022092
p19,uranium,2035,1.37390438022092
p20,uranium,2028,1.37390438022092
p20,uranium,2030,1.37390438022092
p20,uranium,2035,1.37390438022092
p21,uranium,2028,1.37390438022092
p21,uranium,2030,1.37390438022092
p21,uranium,2035,1.37390438022092
p22,uranium,2028,1.37390438022092
p22,uranium,2030,1.37390438022092
p22,uranium,2035,1.37390438022092
p23,uranium,2028,1.37390438022092
p23,uranium,2030,1.37390438022092
p23,uranium,2035,1.37390438022092
p24,uranium,2028,1.37390438022092
p24,uranium,2030,1.37390438022092
p24,uranium,2035,1.37390438022092
p25,uranium,2028,1.37390438022092
p25,uranium,2030,1.37390438022092
p25,uranium,2035,1.37390438022092
p26,uranium,2028,1.37390438022092
p26,uranium,2030,1.37390438022092
p26,uranium,2035,1.37390438022092
p27,uranium,2028,0.717442680233998
p27,uranium,2030,0.717442680233998
p27,uranium,2035,0.717442680233998
p28,uranium,2028,0.717442680233998
p28,uranium,2030,0.717442680233998
p28,uranium,2035,0.717442680233998
p29,uranium,2028,0.717442680233998
p29,uranium,2030,0.717442680233998
p29,uranium,2035,0.717442680233998
p30,uranium,2028,0.717442680233998
p30,uranium,2030,0.717442680233998
p30,uranium,2035,0.717442680233998
p31,uranium,2028,1.37390438022092
p31,uranium,2030,1.37390438022092
p31,uranium,2035,1.37390438022092
p32,uranium,2028,1.37390438022092
p32,uranium,2030,1.37390438022092
p32,uranium,2035,1.37390438022092
p33,uranium,2028,1.37390438022092
p33,uranium,2030,1.37390438022092
p33,uranium,2035,1.37390438022092
p34,uranium,2028,1.37390438022092
p34,uranium,2030,1.37390438022092
p34,uranium,2035,1.37390438022092
p35,uranium,2028,1.37390438022092
p35,uranium,2030,1.37390438022092
p35,uranium,2035,1.37390438022092
p36,uranium,2028,1.37390438022092
p36,uranium,2030,1.37390438022092
p36,uranium,2035,1.37390438022092
p37,uranium,2028,1.37390438022092
p37,uranium,2030,1.37390438022092
p37,uranium,2035,1.37390438022092
p38,uranium,2028,1.37390438022092
p38,uranium,2030,1.37390438022092
p38,uranium,2035,1.37390438022092
p39,uranium,2028,0.681891574703434
p39,uranium,2030,0.681891574703434
p39,uranium,2035,0.681891574703434
p40,uranium,2028,0.681891574703434
p40,uranium,2030,0.681891574703434
p40,uranium,2035,0.681891574703434
p41,uranium,2028,0.681891574703434
p41,uranium,2030,0.681891574703434
p41,uranium,2035,0.681891574703434
p42,uranium,2028,0.868239244194314
p42,uranium,2030,0.868239244194314
p42,uranium,2035,0.868239244194314
p43,uranium,2028,0.868239244194314
p43,uranium,2030,0.868239244194314
p43,uranium,2035,0.868239244194314
p44,uranium,2028,0.868239244194314
p44,uranium,2030,0.868239244194314
p44,uranium,2035,0.868239244194314
p45,uranium,2028,0.787824359716576
p45,uranium,2030,0.787824359716576
p45,uranium,2035,0.787824359716576
p46,uranium,2028,0.677271350911614
p46,uranium,2030,0.677271350911614
p46,uranium,2035,0.677271350911614
p47,uranium,2028,1.37390438022092
p47,uranium,2030,1.37390438022092
p47,uranium,2035,1.37390438022092
p48,uranium,2028,0.677271350911614
