region,avg_base,peak_base,avg_growth,peak_growth,year,avg_targ,peak_targ
p70,4150.4018590998,7175,1.85888952046691,1.41753927699625,2041,7715.13852160701,10170.8443124481
p70,4150.4018590998,7175,1.92403120439726,1.44528574042912,2042,7985.50268769641,10369.9251875789
p70,4150.4018590998,7175,1.99145567003064,1.47357530432171,2043,8265.34131521,10572.9028085083
p70,4150.4018590998,7175,2.06124291364577,1.5024185991499,2044,8554.98642085168,10779.8534489005
p70,4150.4018590998,7175,2.13347573485757,1.53182646346707,2045,8854.78165629717,10990.8548753762
p70,4150.4018590998,7175,2.20823983485543,1.56180994797703,2046,9165.0827159222,11205.9863767352
p70,4150.4018590998,7175,2.28562391808401,1.59238031968655,2047,9486.25775881885,11425.328793751
p70,4150.4018590998,7175,2.36571979748736,1.62354906613921,2048,9818.68784560075,11648.9645495489
p70,4150.4018590998,7175,2.44862250344106,1.65532789973213,2049,10162.7673905154,11876.977680578
p70,4150.4018590998,7175,2.53443039650177,1.68772876211715,2050,10518.9046294,12109.4538681906
p71,211.344651011089,388,1,1,2023,211.344651011089,388
p71,211.344651011089,388,1,1.003348584971,2024,211.344651011089,389.299250968748
p71,211.344651011089,388,1,1.00670838296331,2025,211.344651011089,390.602852589763
p71,211.344651011089,388,1,1.01007943152468,2026,211.344651011089,391.910819431575
p71,211.344651011089,388,1,1.0134617683286,2027,211.344651011089,393.223166111496
p71,211.344651011089,388,1,1.01685543117471,2028,211.344651011089,394.539907295786
p71,211.344651011089,388,1,1.02026045798922,2029,211.344651011089,395.861057699817
p71,211.344651011089,388,1,1.02367688682535,2030,211.344651011089,397.186632088234
p71,211.344651011089,388,1,1.02710475586373,2031,211.344651011089,398.516645275127
p71,211.344651011089,388,1,1.03054410341286,2032,211.344651011089,399.851112124189
p71,211.344651011089,388,1,1.0339949679095,2033,211.344651011089,401.190047548885
p71,211.344651011089,388,1,1.03745738791913,2034,211.344651011089,402.533466512622
p71,211.344651011089,388,1,1.04093140213637,2035,211.344651011089,403.881384028911
p71,211.344651011089,388,1,1.0444170493854,2036,211.344651011089,405.233815161537
p71,211.344651011089,388,1,1.04791436862043,2037,211.344651011089,406.590775024728
p71,211.344651011089,388,1,1.05142339892609,2038,211.344651011089,407.952278783323
p71,211.344651011089,388,1,1.05494417951789,2039,211.344651011089,409.318341652942
p71,211.344651011089,388,1,1.05847674974267,2040,211.344651011089,410.688978900156
p71,211.344651011089,388,1,1.06202114907901,2041,211.344651011089,412.064205842656
p71,211.344651011089,388,1,1.0655774171377,2042,211.344651011089,413.444037849428
p71,211.344651011089,388,1,1.06914559366216,2043,211.344651011089,414.82849034092
p71,211.344651011089,388,1,1.07272571852891,2044,211.344651011089,416.217578789218
p71,211.344651011089,388,1,1.07631783174798,2045,211.344651011089,417.611318718218
p71,211.344651011089,388,1,1.07992197346339,2046,211.344651011089,419.009725703797
p71,211.344651011089,388,1,1.08353818395359,2047,211.344651011089,420.412815373992
p71,211.344651011089,388,1,1.08716650363188,2048,211.344651011089,421.820603409169
p71,211.344651011089,388,1,1.09080697304691,2049,211.344651011089,423.233105542203
p71,211.344651011089,388,1,1.09445963288312,2050,211.344651011089,424.650337558651
p72,4581.30324527071,8419,1,1,2023,4581.30324527071,8419
p72,4581.30324527071,8419,1.02274721123123,1.01561877753248,2024,4685.5151179052,8550.49448804594
p72,4581.30324527071,8419,1.04601185808126,1.03148150127657,2025,4792.0975200193,8684.04275924742
p72,4581.30324527071,8419,1.0698057107674,1.04759198137387,2026,4901.10437454783,8819.67689118664
p72,4581.30324527071,8419,1.0941408072466,1.06395408747576,2027,5012.59083102197,8957.42946245843
p72,4581.30324527071,8419,1.11902945930575,1.08057174967282,2028,5126.61329347095,9097.33356049545
p72,4581.30324527071,8419,1.14448425879054,1.09744895943884,2029,5243.22944895836,9239.42278951558
p72,4581.30324527071,8419,1.17051808397607,1.11458977058956,2030,5362.49829676761,9383.73127859355
p72,4581.30324527071,8419,1.19714410608224,1.13199830025638,2031,5484.48017825129,9530.29368985846
p72,4581.30324527071,8419,1.22437579593752,1.14967872987523,2032,5609.23680735946,9679.14522681956
p72,4581.30324527071,8419,1.25222693079411,1.16763530619097,2033,5736.83130186245,9830.32164282181
p72,4581.30324527071,8419,1.28071160129832,1.18587234227744,2034,5867.32821528384,9983.85924963376
p72,4581.30324527071,8419,1.30984421861934,1.20439421857339,2035,6000.79356955985,10139.7949261694
p72,4581.30324527071,8419,1.33963952174028,1.22320538393469,2036,6137.29488844163,10298.1661273462
p72,4581.30324527071,8419,1.370112584915,1.2423103567029,2037,6276.90123165735,10459.0108930817
p72,4581.30324527071,8419,1.40127882529463,1.26171372579054,2038,6419.68322985142,10622.3678574305
p72,4581.30324527071,8419,1.43315401072745,1.28142015178333,2039,6565.71312031843,10788.2762578639
p72,4581.30324527071,8419,1.46575426773636,1.30143436805967,2040,6715.06478354996,10956.7759446944
p72,4581.30324527071,8419,1.49909608967763,1.32176118192752,2041,6867.81378061276,11127.9073906478
p72,4581.30324527071,8419,1.53319634508544,1.34240547577911,2042,7024.0373913771,11301.7117005844
p72,4581.30324527071,8419,1.56807228620604,1.36337220826369,2043,7183.8146536148,11478.230621372
p72,4581.30324527071,8419,1.60374155772621,1.38466641547852,2044,7347.22640298657,11657.5065519137
p72,4581.30324527071,8419,1.6402222057001,1.40629321217858,2045,7514.35531393897,11839.5825533315
p72,4581.30324527071,8419,1.67753268667932,1.42825779300503,2046,7685.28594153165,12024.5023593094
p72,4581.30324527071,8419,1.7156918770505,1.45056543373301,2047,7860.10476421606,12212.3103865982
p72,4581.30324527071,8419,1.75471908258547,1.47322149253879,2048,8038.90022758727,12403.051745684
p72,4581.30324527071,8419,1.79463404820851,1.49623141128682,2049,8221.76278913097,12596.7722516237
p72,4581.30324527071,8419,1.83545696798587,1.51960071683681,2050,8408.78496398839,12793.5184350491
p73,299.478049575995,550,1,1,2023,299.478049575995,550
p73,299.478049575995,550,1.01591808736173,1.0121475591081,2024,304.245167332065,556.681157509457
p73,299.478049575995,550,1.03208956022871,1.02444268140849,2025,309.08816848504,563.443474774671
p73,299.478049575995,550,1.04851845201356,1.03688715943377,2026,314.008260953462,570.287937688571
p73,299.478049575995,550,1.06520886033309,1.04948280749142,2027,319.006671883623,577.215544120281
p73,299.478049575995,550,1.08216494803036,1.06223146192836,2028,324.08464795564,584.227304060599
p73,299.478049575995,550,1.09939094421291,1.07513498139862,2029,329.243455694393,591.324239769243
p73,299.478049575995,550,1.11689114530758,1.08819524713435,2030,334.484381785413,598.507385923894
p73,299.478049575995,550,1.13466991613213,1.10141416322007,2031,339.808733395807,605.777789771041
p73,299.478049575995,550,1.15273169098384,1.11479365687029,2032,345.217838500279,613.136511278661
p73,299.478049575995,550,1.17108097474556,1.12833567871046,2033,350.713046212354,620.584623290755
p73,299.478049575995,550,1.18972234400921,1.14204220306138,2034,356.295727120859,628.12321168376
p73,299.478049575995,550,1.20866044821735,1.15591522822702,2035,361.96727363178,635.75337552486
p73,299.478049575995,550,1.22790001082274,1.16995677678586,2036,367.729100315537,643.476227232224
p73,299.478049575995,550,1.24744583046648,1.18416889588579,2037,373.582644259809,651.292892737187
p73,299.478049575995,550,1.26730278217487,1.19855365754255,2038,379.529365427962,659.2045116484
p73,299.478049575995,550,1.28747581857529,1.21311315894178,2039,385.570747023185,667.212237417977
p73,299.478049575995,550,1.30796997113148,1.22784952274484,2040,391.708295858426,675.317237509662
p73,299.478049575995,550,1.32879035139847,1.24276489739824,2041,397.943542732214,683.520693569032
p73,299.478049575995,550,1.34994215229745,1.25786145744686,2042,404.278042810461,691.823801595774
p73,299.478049575995,550,1.371430649411,1.273141403851,2043,410.713376014346,700.227772118051
p73,299.478049575995,550,1.39326120229887,1.28860696430726,2044,417.251147414372,708.733830368991
p73,299.478049575995,550,1.41543925583477,1.30426039357329,2045,423.892987630696,717.343216465311
p73,299.478049575995,550,1.43797034156437,1.32010397379658,2046,430.640553239825,726.05718558812
p73,299.478049575995,550,1.46086007908497,1.33614001484712,2047,437.495527187799,734.877008165915
p73,299.478049575995,550,1.4841141774471,1.35237085465418,2048,444.459619209939,743.803970059797
p73,299.478049575995,550,1.50773843657848,1.36879885954716,2049,451.534566257283,752.83937275094
p73,299.478049575995,550,1.53173874873057,1.38542642460062,2050,458.722132929806,761.98453353034
p74,231.078750815395,410,1,1,2023,231.078750815395,410
p74,231.078750815395,410,1.03649212506458,1.02058425059042,2024,239.511305489916,418.439542742072
p74,231.078750815395,410,1.07431592532088,1.04159221255321,2025,248.251582004234,427.052807146814
p74,231.078750815395,410,1.11351999642656,1.06303260766943,2026,257.310809782212,435.843369144466
p74,231.078750815395,410,1.15415470739806,1.08491433725148,2027,266.700628033252,444.814878273108
p74,231.078750815395,410,1.1962722653243,1.1072464858386,2028,276.433100706243,453.971059193828
p74,231.078750815395,410,1.2399267824418,1.13003832496847,2029,286.520731989204,463.315713237071
p74,231.078750815395,410,1.28517434565759,1.15329931702639,2030,296.976482374548,472.852719980822
p74,231.078750815395,410,1.33207308860911,1.17703911917382,2031,307.813785310598,482.586038861268
p74,231.078750815395,410,1.38068326635379,1.20126758735762,2032,319.046564460753,492.519710816626
p74,231.078750815395,410,1.43106733278414,1.22599478040194,2033,330.689251592478,502.657859964795
p74,231.078750815395,410,1.48329002086793,1.25123096418428,2034,342.756805119102,513.004695315554
p74,231.078750815395,410,1.53741842581648,1.27698661589754,2035,355.264729318243,523.564512517991
p74,231.078750815395,410,1.59352209128796,1.30327242839978,2036,368.229094251558,534.341695643911
p74,231.078750815395,410,1.65167309873641,1.33009931465355,2037,381.666556411402,545.340719007955
p74,231.078750815395,410,1.7119461600213,1.35747841225652,2038,395.594380120933,556.566149025173
p74,231.078750815395,410,1.77441871339662,1.38542108806549,2039,410.03045971515,568.022646106852
p74,231.078750815395,410,1.83917102300281,1.41393894291548,2040,424.993342531361,579.714966595348
p74,231.078750815395,410,1.90628628198937,1.44304381643601,2041,440.502252738628,591.647964738762
p74,231.078750815395,410,1.97585071940062,1.47274779196648,2042,456.577116036794,603.826594706256
p74,231.078750815395,410,2.04795371096192,1.5030632015728,2043,473.238585256832,616.255912644848
p74,231.078750815395,410,2.12268789390881,1.53400263116721,2044,490.508066895408,628.941078778557
p74,231.078750815395,410,2.20014928600639,1.56557892573352,2045,508.407748617739,641.887359550743
p74,231.078750815395,410,2.28043740891207,1.5978051946599,2046,526.960627764098,655.100129810557
p74,231.078750815395,410,2.36365541604003,1.63069481718145,2047,546.190540896573,668.584875044393
p74,231.078750815395,410,2.44991022509173,1.66426144793481,2048,566.12219442406,682.347193653271
p74,231.078750815395,410,2.53931265542276,1.69851902262707,2049,586.781196344815,696.392799277098
p74,231.078750815395,410,2.63197757042252,1.73348176382142,2050,608.194089147372,710.727523166781
p75,1232.53664383562,2150,1,1,2023,1232.53664383562,2150
